"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","47.29Z","PRD",97,3.7,"GCO2E_EUR","Autres commerces de détail alimentaires en magasin spécialisé"
"2022","47.30Z","PRD",99,2,"GCO2E_EUR","Commerce de détail de carburants en magasin spécialisé"
"2022","47.30Z","GVA",88,2,"GCO2E_EUR","Commerce de détail de carburants en magasin spécialisé"
"2022","47.30Z","IC",114,2,"GCO2E_EUR","Commerce de détail de carburants en magasin spécialisé"
"2022","47.41Z","PRD",92,3.7,"GCO2E_EUR","Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
"2022","47.41Z","GVA",78,3.7,"GCO2E_EUR","Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
"2022","47.41Z","IC",113,3.7,"GCO2E_EUR","Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé"
"2022","47.42Z","IC",113,3.7,"GCO2E_EUR","Commerce de détail de matériels de télécommunication en magasin spécialisé"
"2022","47.42Z","PRD",92,3.7,"GCO2E_EUR","Commerce de détail de matériels de télécommunication en magasin spécialisé"
"2022","47.42Z","GVA",78,3.7,"GCO2E_EUR","Commerce de détail de matériels de télécommunication en magasin spécialisé"
"2022","47.43Z","PRD",92,3.7,"GCO2E_EUR","Commerce de détail de matériels audio et vidéo en magasin spécialisé"
"2022","47.43Z","GVA",78,3.7,"GCO2E_EUR","Commerce de détail de matériels audio et vidéo en magasin spécialisé"
"2022","47.43Z","IC",113,3.7,"GCO2E_EUR","Commerce de détail de matériels audio et vidéo en magasin spécialisé"
"2022","47.51Z","PRD",100,4,"GCO2E_EUR","Commerce de détail de textiles en magasin spécialisé"
"2022","47.51Z","IC",124,4,"GCO2E_EUR","Commerce de détail de textiles en magasin spécialisé"
"2022","47.51Z","GVA",81,4,"GCO2E_EUR","Commerce de détail de textiles en magasin spécialisé"
"2022","47.52A","IC",109,3.7,"GCO2E_EUR","Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)"
"2022","47.52A","PRD",124,3.7,"GCO2E_EUR","Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)"
"2022","47.52A","GVA",123,3.7,"GCO2E_EUR","Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)"
"2022","47.52B","PRD",124,3.7,"GCO2E_EUR","Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)"
"2022","47.52B","GVA",123,3.7,"GCO2E_EUR","Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)"
"2022","47.52B","IC",109,3.7,"GCO2E_EUR","Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)"
"2022","47.53Z","IC",113,3.7,"GCO2E_EUR","Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
"2022","47.53Z","GVA",78,3.7,"GCO2E_EUR","Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
"2022","47.53Z","PRD",92,3.7,"GCO2E_EUR","Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé"
"2022","47.54Z","PRD",92,3.7,"GCO2E_EUR","Commerce de détail d'appareils électroménagers en magasin spécialisé"
"2022","47.54Z","GVA",78,3.7,"GCO2E_EUR","Commerce de détail d'appareils électroménagers en magasin spécialisé"
"2022","47.54Z","IC",113,3.7,"GCO2E_EUR","Commerce de détail d'appareils électroménagers en magasin spécialisé"
"2022","47.59A","PRD",92,3.7,"GCO2E_EUR","Commerce de détail de meubles"
"2022","47.59A","GVA",78,3.7,"GCO2E_EUR","Commerce de détail de meubles"
"2022","47.59A","IC",113,3.7,"GCO2E_EUR","Commerce de détail de meubles"
"2022","47.59B","GVA",78,3.7,"GCO2E_EUR","Commerce de détail d'autres équipements du foyer"
"2022","47.59B","IC",113,3.7,"GCO2E_EUR","Commerce de détail d'autres équipements du foyer"
"2022","47.59B","PRD",92,3.7,"GCO2E_EUR","Commerce de détail d'autres équipements du foyer"
"2022","47.61Z","PRD",100,4,"GCO2E_EUR","Commerce de détail de livres en magasin spécialisé"
"2022","47.61Z","IC",124,4,"GCO2E_EUR","Commerce de détail de livres en magasin spécialisé"
"2022","47.61Z","GVA",81,4,"GCO2E_EUR","Commerce de détail de livres en magasin spécialisé"
"2022","47.62Z","GVA",81,4,"GCO2E_EUR","Commerce de détail de journaux et papeterie en magasin spécialisé"
"2022","47.62Z","PRD",100,4,"GCO2E_EUR","Commerce de détail de journaux et papeterie en magasin spécialisé"
"2022","47.62Z","IC",124,4,"GCO2E_EUR","Commerce de détail de journaux et papeterie en magasin spécialisé"
"2022","47.63Z","PRD",100,4,"GCO2E_EUR","Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé"
"2022","47.63Z","GVA",81,4,"GCO2E_EUR","Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé"
"2022","47.63Z","IC",124,4,"GCO2E_EUR","Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé"
"2022","47.64Z","GVA",81,4,"GCO2E_EUR","Commerce de détail d'articles de sport en magasin spécialisé"
"2022","47.64Z","PRD",100,4,"GCO2E_EUR","Commerce de détail d'articles de sport en magasin spécialisé"
"2022","47.64Z","IC",124,4,"GCO2E_EUR","Commerce de détail d'articles de sport en magasin spécialisé"
"2022","47.65Z","IC",124,4,"GCO2E_EUR","Commerce de détail de jeux et jouets en magasin spécialisé"
"2022","47.65Z","GVA",81,4,"GCO2E_EUR","Commerce de détail de jeux et jouets en magasin spécialisé"
